,pH(t-1),DO(t-1),NH3-N(t-1),TOC(t-1),AQI(t)(t-1),CO(t)(t-1),CO_24h(t)(t-1),NO2(t)(t-1),NO2_24h(t)(t-1),O3(t)(t-1),O3_8h(t)(t-1),PM10(t)(t-1),PM10_24h(t)(t-1),PM2.5(t)(t-1),PM2.5_24h(t)(t-1),SO2(t)(t-1),SO2_24h(t)(t-1),AQI(t-1)(t-1),CO(t-1)(t-1),CO_24h(t-1)(t-1),NO2(t-1)(t-1),NO2_24h(t-1)(t-1),O3(t-1)(t-1),O3_8h(t-1)(t-1),PM10(t-1)(t-1),PM10_24h(t-1)(t-1),PM2.5(t-1)(t-1),PM2.5_24h(t-1)(t-1),SO2(t-1)(t-1),SO2_24h(t-1)(t-1),AQI(t-2)(t-1),CO(t-2)(t-1),CO_24h(t-2)(t-1),NO2(t-2)(t-1),NO2_24h(t-2)(t-1),O3(t-2)(t-1),O3_8h(t-2)(t-1),PM10(t-2)(t-1),PM10_24h(t-2)(t-1),PM2.5(t-2)(t-1),PM2.5_24h(t-2)(t-1),SO2(t-2)(t-1),SO2_24h(t-2)(t-1),AQI(t-3)(t-1),CO(t-3)(t-1),CO_24h(t-3)(t-1),NO2(t-3)(t-1),NO2_24h(t-3)(t-1),O3(t-3)(t-1),O3_8h(t-3)(t-1),PM10(t-3)(t-1),PM10_24h(t-3)(t-1),PM2.5(t-3)(t-1),PM2.5_24h(t-3)(t-1),SO2(t-3)(t-1),SO2_24h(t-3)(t-1),EVP(t-1),GST_AVE(t-1),PRE(t-1),PRS_AVE(t-1),RHU_AVE(t-1),SSD(t-1),TEM_AVE(t-1),WIN_AVE(t-1),pH(t),DO(t),NH3-N(t),TOC(t)
2017-06-02 00:00:00,6.51,6.71,0.54,2.6,51.0,0.8,0.6,61.0,26.0,41.0,70.0,52.0,57.0,27.0,39.0,16.0,15.0,42.0,0.8,0.6,50.0,25.0,46.0,78.0,42.0,61.0,28.0,41.0,16.0,16.0,40.0,0.8,0.6,45.0,24.0,44.0,84.0,39.0,67.0,28.0,43.0,17.0,16.0,43.0,0.7,0.6,19.0,23.0,84.0,90.0,32.0,71.0,30.0,45.0,16.0,16.0,16.0,200.0,176.0,8760.0,93.0,0.0,186.0,26.0,6.5,6.75,0.75,2.45
2017-06-02 04:00:00,6.5,6.75,0.75,2.45,36.0,0.9,0.7,18.0,24.0,65.0,56.0,31.0,52.0,25.0,33.0,18.0,16.0,38.0,0.9,0.7,20.0,26.0,61.0,59.0,38.0,53.0,25.0,34.0,18.0,15.0,48.0,0.9,0.6,26.0,26.0,58.0,67.0,48.0,54.0,27.0,37.0,15.0,15.0,48.0,0.9,0.6,26.0,26.0,58.0,67.0,48.0,54.0,27.0,37.0,15.0,15.0,16.0,200.0,176.0,8760.0,93.0,0.0,186.0,26.0,6.48,6.66,0.71,2.6
2017-06-02 08:00:00,6.48,6.66,0.71,2.6,47.0,0.7,0.7,20.0,22.0,45.0,52.0,47.0,46.0,23.0,30.0,20.0,16.0,39.0,0.7,0.7,20.0,22.0,50.0,54.0,39.0,47.0,23.0,31.0,18.0,16.0,38.0,0.8,0.7,21.0,23.0,52.0,56.0,38.0,49.0,23.0,31.0,20.0,16.0,36.0,0.8,0.7,19.0,23.0,60.0,60.0,36.0,51.0,23.0,33.0,19.0,16.0,16.0,200.0,176.0,8760.0,93.0,0.0,186.0,26.0,6.49,6.59,0.1,2.39
2017-06-02 12:00:00,6.49,6.59,0.1,2.39,80.0,1.0,0.8,42.0,25.0,27.0,46.0,110.0,55.0,38.0,30.0,38.0,19.0,81.0,1.0,0.8,32.0,24.0,43.0,48.0,112.0,52.0,37.0,31.0,32.0,18.0,67.0,0.9,0.8,18.0,23.0,43.0,49.0,84.0,49.0,30.0,30.0,27.0,17.0,55.0,0.7,0.7,18.0,22.0,45.0,50.0,60.0,47.0,26.0,30.0,22.0,17.0,16.0,200.0,176.0,8760.0,93.0,0.0,186.0,26.0,6.5,6.44,0.27,2.69
2017-06-02 16:00:00,6.5,6.44,0.27,2.69,61.0,0.7,0.8,27.0,26.0,130.0,65.0,72.0,59.0,41.0,31.0,24.0,21.0,58.0,0.7,0.8,14.0,26.0,121.0,55.0,66.0,59.0,40.0,31.0,24.0,21.0,69.0,0.8,0.8,34.0,26.0,68.0,46.0,87.0,58.0,41.0,31.0,28.0,20.0,74.0,0.9,0.8,30.0,25.0,46.0,44.0,97.0,57.0,40.0,30.0,36.0,20.0,16.0,200.0,176.0,8760.0,93.0,0.0,186.0,26.0,6.51,6.52,0.48,2.71
2017-06-02 20:00:00,6.51,6.52,0.48,2.71,104.0,0.5,0.8,20.0,27.0,207.0,137.0,85.0,60.0,43.0,32.0,21.0,22.0,75.0,0.6,0.8,26.0,27.0,180.0,115.0,73.0,59.0,39.0,31.0,32.0,22.0,78.0,0.7,0.8,22.0,27.0,182.0,98.0,53.0,58.0,39.0,31.0,26.0,22.0,57.0,0.7,0.8,26.0,27.0,165.0,80.0,56.0,58.0,40.0,31.0,21.0,21.0,16.0,200.0,176.0,8760.0,93.0,0.0,186.0,26.0,6.53,6.44,0.52,2.69
2017-06-03 00:00:00,6.53,6.44,0.52,2.69,69.0,0.3,0.7,29.0,24.0,156.0,184.0,87.0,67.0,47.0,35.0,26.0,24.0,77.0,0.4,0.7,20.0,25.0,181.0,181.0,90.0,66.0,46.0,34.0,23.0,23.0,98.0,0.4,0.8,19.0,26.0,198.0,174.0,78.0,64.0,44.0,33.0,21.0,23.0,104.0,0.5,0.8,17.0,27.0,207.0,158.0,72.0,62.0,43.0,32.0,20.0,23.0,24.0,242.0,0.0,8775.0,78.0,95.0,211.0,37.0,6.49,6.27,0.52,2.7
2017-06-03 04:00:00,6.49,6.27,0.52,2.7,65.0,0.2,0.6,55.0,27.0,46.0,134.0,75.0,75.0,47.0,38.0,23.0,25.0,68.0,0.5,0.7,37.0,26.0,78.0,154.0,85.0,74.0,48.0,38.0,21.0,24.0,72.0,0.4,0.7,35.0,25.0,101.0,167.0,93.0,72.0,50.0,37.0,22.0,24.0,83.0,0.4,0.7,50.0,25.0,104.0,177.0,116.0,70.0,52.0,36.0,27.0,24.0,24.0,242.0,0.0,8775.0,78.0,95.0,211.0,37.0,6.43,6.13,0.47,2.71
2017-06-03 08:00:00,6.43,6.13,0.47,2.71,69.0,0.2,0.5,42.0,33.0,28.0,32.0,88.0,82.0,46.0,42.0,23.0,26.0,63.0,0.1,0.6,47.0,32.0,36.0,33.0,74.0,81.0,45.0,41.0,24.0,26.0,67.0,0.1,0.6,46.0,31.0,38.0,32.0,83.0,79.0,46.0,40.0,27.0,26.0,65.0,0.1,0.6,81.0,30.0,25.0,25.0,80.0,77.0,46.0,39.0,35.0,25.0,24.0,242.0,0.0,8775.0,78.0,95.0,211.0,37.0,6.41,6.04,0.48,3.0
2017-06-03 12:00:00,6.41,6.04,0.48,3.0,81.0,0.3,0.4,44.0,36.0,36.0,32.0,112.0,81.0,46.0,44.0,28.0,25.0,62.0,0.2,0.4,27.0,36.0,54.0,32.0,66.0,81.0,44.0,44.0,25.0,26.0,63.0,0.1,0.5,44.0,36.0,37.0,28.0,69.0,83.0,45.0,44.0,23.0,26.0,74.0,0.1,0.5,62.0,35.0,5.0,26.0,98.0,84.0,46.0,43.0,23.0,26.0,24.0,242.0,0.0,8775.0,78.0,95.0,211.0,37.0,6.39,6.06,0.47,2.89
