,进水COD,进水温度,进水氨氮,进水TP,进水TN,进水SS,2号剩余泵瞬时流量,2号生物反应池瞬时流量,6-4号生物池NH3_1,6-4号生物池NH3_2,6-4号生物池厌氧段MLSS,6-4号生物池好氧段MLSS,6-4号生物池好氧段NO3,6-4号生物池缺氧段MLSS,6-4生物池DO1,6-4生物池DO2,6-4生物池DO3,6-4生物池DO4,7-1外回流流量2,内回流流量2
0,179.4157436,14.12557697,13.41160331,2.864535489,24.78017343,81.62652641,4.494693514,2.32257253,21.21891784,0.149810077,2.719857153,1.446062916,27.95536335,4.195934735,4.770667492,1.450482903,2.347045841,2.531921494,2.219601157,4.899984554
1,179.4174752,14.12744744,13.41168326,2.865058604,24.78733706,81.6671672,4.486760496,2.322493444,20.29480628,0.149812624,2.719457993,1.44649379,27.95656098,4.196008561,4.770463941,1.45027342,2.346726219,2.532364102,2.219579995,4.899976444
2,179.419416,14.12931851,13.4117978,2.865588904,24.79468185,81.70797398,4.478847702,2.322414763,20.30657387,0.149815458,2.719058799,1.446927949,27.95775099,4.196082385,4.770259334,1.450061817,2.346407458,2.532803623,2.219558892,4.899968573
3,179.4215739,14.13119022,13.4119468,2.866126377,24.80220778,81.74895253,4.470955079,2.322336512,20.31835176,0.149818584,2.718659571,1.447365287,27.95893333,4.196156187,4.770053648,1.449848063,2.34608955,2.533239911,2.219537842,4.899960922
4,179.4239568,14.13306255,13.41213008,2.866671037,24.8099148,81.79010993,4.463082575,2.3222587,20.33013905,0.149822002,2.718260303,1.447805727,27.96010792,4.196229951,4.7698469,1.449632125,2.345772439,2.533672851,2.219516845,4.899953501
5,179.4265731,14.13493553,13.41234748,2.867222891,24.81780279,81.83145226,4.455230136,2.322181334,20.34193481,0.149825715,2.717860985,1.448248996,27.96127468,4.196303656,4.769639068,1.449414056,2.345455994,2.534102299,2.219495909,4.899946313
6,179.4294309,14.13680916,13.41259878,2.867781958,24.8258716,81.87298649,4.447397707,2.322104423,20.3537381,0.149829723,2.717461597,1.448694974,27.96243351,4.196377278,4.769430116,1.449193915,2.345140205,2.53452822,2.219475044,4.89993934
7,179.4325388,14.13868347,13.41288375,2.868348248,24.83412101,81.91471977,4.439585236,2.322027979,20.36554779,0.149834029,2.717062131,1.44914371,27.96358427,4.19645079,4.76922002,1.448971653,2.344825118,2.534950604,2.219454244,4.8999326
8,179.4359053,14.14055848,13.41320216,2.86892175,24.84255068,81.95665901,4.431792668,2.321952012,20.37736266,0.149838631,2.716662577,1.449595016,27.96472692,4.196524163,4.769008784,1.448747224,2.344510716,2.5353694,2.219433509,4.899926084
9,179.4395378,14.14243422,13.41355373,2.869502443,24.85116023,81.99881201,4.424019952,2.32187653,20.3891817,0.14984353,2.716262934,1.450048651,27.96586133,4.196597371,4.768796384,1.448520638,2.344196934,2.535784499,2.219412835,4.899919801
10,179.4434439,14.14431067,13.41393818,2.870090309,24.85994923,82.04118681,4.416267103,2.321801542,20.40100404,0.149848727,2.715863199,1.450504607,27.9669874,4.196670382,4.76858285,1.448291867,2.343883571,2.536195823,2.219392215,4.899913766
11,179.447631,14.14618787,13.41435518,2.870685322,24.86891722,82.08379125,4.408534069,2.32172697,20.41282874,0.149854222,2.715463361,1.45096266,27.96810505,4.196743168,4.768368159,1.448060867,2.343570666,2.53660324,2.219371653,4.899908013
12,179.4521066,14.14806583,13.41480444,2.871287445,24.87806369,82.1266329,4.400820798,2.32165282,20.42465459,0.149860012,2.715063415,1.451422858,27.96921422,4.196815697,4.768152283,1.447827619,2.343258238,2.537006707,2.219351148,4.899902548
