,0,1
0,"5000, 11.020000000000001%",[0]
1,"1740, 3.84%","[1, 28, 42]"
2,"9425, 20.78%","[2, 10, 15, 20, 36, 38, 45, 54, 55, 57, 60, 64, 66, 69, 71, 72, 73]"
3,"530, 1.17%",[3]
4,"531, 1.17%",[4]
5,"594, 1.31%",[5]
6,"2871, 6.329999999999999%","[6, 7, 29, 40, 41]"
7,"556, 1.23%",[8]
8,"555, 1.22%",[9]
9,"576, 1.27%",[11]
10,"551, 1.21%",[12]
11,"6458, 14.24%","[13, 16, 22, 23, 27, 32, 33, 50, 62, 65, 67, 68]"
12,"507, 1.1199999999999999%",[14]
13,"1022, 2.25%","[17, 24]"
14,"1073, 2.37%","[18, 25]"
15,"591, 1.3%",[19]
16,"523, 1.15%",[21]
17,"535, 1.18%",[26]
18,"2251, 4.96%","[30, 34, 43, 58]"
19,"547, 1.21%",[31]
20,"508, 1.1199999999999999%",[35]
21,"501, 1.0999999999999999%",[37]
22,"527, 1.16%",[39]
23,"533, 1.18%",[44]
24,"539, 1.1900000000000002%",[46]
25,"525, 1.16%",[47]
26,"1095, 2.41%","[48, 63]"
27,"553, 1.22%",[49]
28,"556, 1.23%",[51]
29,"576, 1.27%",[52]
30,"590, 1.3%",[53]
31,"595, 1.31%",[56]
32,"548, 1.21%",[59]
33,"551, 1.21%",[61]
34,"533, 1.18%",[70]
35,"193, 0.43%",[74]
