,0,1,2
0,1,historydata,4979
1,2,sub3,509
2,3,sub4,510
3,4,sub5,573
4,5,sub8,535
5,6,sub9,534
6,7,sub11,555
7,8,sub12,530
8,9,sub14,486
9,10,sub19,570
10,11,sub21,502
11,12,sub24,498
12,13,sub25,534
13,14,sub26,514
14,15,sub31,526
15,16,sub35,487
16,17,sub37,480
17,18,sub39,506
18,19,sub41,553
19,20,sub42,548
20,21,sub44,512
21,22,sub46,518
22,23,sub47,504
23,24,sub49,532
24,25,sub51,535
25,26,sub52,555
26,27,sub53,569
27,28,sub56,574
28,29,sub58,530
29,30,sub59,527
30,31,sub61,530
31,32,sub63,487
32,33,sub68,498
33,34,sub70,512
34,35,sub73,548
35,36,sub74,172
,,,23032
