,0,1,2
0,historydata,5000,2024/1/28 12:042024/2/11 9:24
1,sub1,594,2024/2/11 7:442024/2/12 23:20
2,sub2,530,2024/2/12 22:122024/2/14 9:32
3,sub3,530,2024/2/14 8:442024/2/15 20:04
4,sub4,531,2024/2/15 19:562024/2/17 7:20
5,sub5,594,2024/2/17 5:162024/2/18 20:52
6,sub6,541,2024/2/18 20:282024/2/20 8:32
7,sub7,585,2024/2/20 7:122024/2/21 22:12
8,sub8,556,2024/2/21 19:202024/2/23 8:24
9,sub9,555,2024/2/23 5:282024/2/24 18:28
10,sub10,530,2024/2/24 15:282024/2/26 2:48
11,sub11,576,2024/2/26 0:002024/2/27 14:24
12,sub12,551,2024/2/27 13:202024/2/29 2:04
13,sub13,526,2024/2/29 1:522024/3/1 12:56
14,sub14,507,2024/3/1 10:122024/3/2 20:00
15,sub15,597,2024/3/2 17:002024/3/4 8:48
16,sub16,573,2024/3/4 7:322024/3/5 21:44
17,sub17,503,2024/3/5 21:122024/3/7 6:44
18,sub18,518,2024/3/7 4:002024/3/8 14:32
19,sub19,591,2024/3/8 11:562024/3/10 3:20
20,sub20,525,2024/3/10 2:082024/3/11 13:08
21,sub21,523,2024/3/11 12:242024/3/12 23:16
22,sub22,589,2024/3/12 21:402024/3/14 12:56
23,sub23,533,2024/3/14 11:362024/3/15 23:08
24,sub24,519,2024/3/15 21:402024/3/17 8:16
25,sub25,555,2024/3/17 7:122024/3/18 20:12
26,sub26,535,2024/3/18 17:442024/3/20 5:24
27,sub27,535,2024/3/20 2:122024/3/21 13:52
28,sub28,577,2024/3/21 11:322024/3/23 2:00
29,sub29,580,2024/3/22 23:162024/3/24 13:56
30,sub30,596,2024/3/24 12:282024/3/26 4:12
31,sub31,547,2024/3/26 3:082024/3/27 15:36
32,sub32,506,2024/3/27 13:242024/3/28 23:08
33,sub33,546,2024/3/28 21:322024/3/30 9:56
34,sub34,564,2024/3/30 7:042024/3/31 20:40
35,sub35,508,2024/3/31 18:202024/4/2 4:12
36,sub36,578,2024/4/2 2:202024/4/3 16:52
37,sub37,501,2024/4/3 15:202024/4/5 0:44
38,sub38,504,2024/4/4 23:442024/4/6 9:20
39,sub39,527,2024/4/6 7:122024/4/7 18:20
40,sub40,591,2024/4/7 17:122024/4/9 8:36
41,sub41,574,2024/4/9 7:202024/4/10 21:36
42,sub42,569,2024/4/10 19:322024/4/12 9:28
43,sub43,540,2024/4/12 6:402024/4/13 18:40
44,sub44,533,2024/4/13 15:402024/4/15 3:12
45,sub45,587,2024/4/15 0:242024/4/16 15:32
46,sub46,539,2024/4/16 12:402024/4/18 0:36
47,sub47,525,2024/4/17 23:562024/4/19 10:56
48,sub48,587,2024/4/19 10:202024/4/21 1:28
49,sub49,553,2024/4/21 0:362024/4/22 13:28
50,sub50,514,2024/4/22 11:562024/4/23 22:12
51,sub51,556,2024/4/23 20:122024/4/25 9:16
52,sub52,576,2024/4/25 7:242024/4/26 21:48
53,sub53,590,2024/4/26 20:162024/4/28 11:36
54,sub54,552,2024/4/28 8:322024/4/29 21:20
55,sub55,533,2024/4/29 19:202024/5/1 6:52
56,sub56,595,2024/5/1 6:202024/5/2 22:00
57,sub57,564,2024/5/2 21:482024/5/4 11:24
58,sub58,551,2024/5/4 9:482024/5/5 22:32
59,sub59,548,2024/5/5 22:042024/5/7 10:36
60,sub60,583,2024/5/7 10:242024/5/9 1:16
61,sub61,551,2024/5/8 22:042024/5/10 10:48
62,sub62,543,2024/5/10 10:242024/5/11 22:36
63,sub63,508,2024/5/11 19:442024/5/13 5:36
64,sub64,550,2024/5/13 2:322024/5/14 15:12
65,sub65,519,2024/5/14 14:162024/5/16 0:52
66,sub66,569,2024/5/15 22:442024/5/17 12:40
67,sub67,555,2024/5/17 12:002024/5/19 1:00
68,sub68,519,2024/5/19 0:322024/5/20 11:08
69,sub69,555,2024/5/20 10:162024/5/21 23:16
70,sub70,533,2024/5/21 23:042024/5/23 10:36
71,sub71,567,2024/5/23 7:442024/5/24 21:32
72,sub72,532,2024/5/24 21:202024/5/26 8:48
73,sub73,569,2024/5/26 8:322024/5/27 22:28
74,sub74,193,2024/5/27 19:082024/5/28 8:00
