,pH(t-1),DO(t-1),NH3-N(t-1),TOC(t-1),EVP(t-1),GST_AVE(t-1),PRE(t-1),PRS_AVE(t-1),RHU_AVE(t-1),SSD(t-1),TEM_AVE(t-1),WIN_AVE(t-1),pH(t),DO(t),NH3-N(t),TOC(t)
2017/6/2 8:00,7.54,5.27,0.13,1.61,55,346,0,9832,80,106,293,20,7.5,5.24,0.14,1.75
2017/6/2 12:00,7.5,5.24,0.14,1.75,55,346,0,9832,80,106,293,20,7.52,5.3,0.11,1.74
2017/6/2 16:00,7.52,5.3,0.11,1.74,55,346,0,9832,80,106,293,20,7.58,5.29,0.12,1.86
2017/6/2 20:00,7.58,5.29,0.12,1.86,55,346,0,9832,80,106,293,20,7.57,5.24,0.1,1.65
2017/6/3 0:00,7.57,5.24,0.1,1.65,44,338,0,9838,82,36,282,33,7.51,5.24,0.2,1.66
2017/6/3 4:00,7.51,5.24,0.2,1.66,44,338,0,9838,82,36,282,33,7.5,5.32,0.15,1.63
2017/6/3 8:00,7.5,5.32,0.15,1.63,44,338,0,9838,82,36,282,33,7.49,5.38,0.13,1.76
2017/6/3 12:00,7.49,5.38,0.13,1.76,44,338,0,9838,82,36,282,33,7.6,5.52,0.51,8.09
2017/6/3 16:00,7.6,5.52,0.51,8.09,44,338,0,9838,82,36,282,33,7.69,5.63,0.1,1.51
2017/6/3 20:00,7.69,5.63,0.1,1.51,44,338,0,9838,82,36,282,33,7.62,5.52,0.11,1.81
2017/6/4 0:00,7.62,5.52,0.11,1.81,40,357,0,9826,77,75,301,28,7.51,5.59,0.14,1.76
2017/6/4 4:00,7.51,5.59,0.14,1.76,40,357,0,9826,77,75,301,28,7.5,5.58,0.13,1.66
2017/6/4 8:00,7.5,5.58,0.13,1.66,40,357,0,9826,77,75,301,28,7.55,5.63,0.11,1.94
2017/6/4 12:00,7.55,5.63,0.11,1.94,40,357,0,9826,77,75,301,28,7.69,5.73,0.14,2.03
2017/6/4 16:00,7.69,5.73,0.14,2.03,40,357,0,9826,77,75,301,28,7.63,5.86,0.15,1.98
2017/6/4 20:00,7.63,5.86,0.15,1.98,40,357,0,9826,77,75,301,28,7.64,5.71,0.11,1.78
2017/6/5 0:00,7.64,5.71,0.11,1.78,44,346,11,9819,84,71,295,29,7.53,5.78,0.12,1.65
2017/6/5 4:00,7.53,5.78,0.12,1.65,44,346,11,9819,84,71,295,29,7.51,5.76,0.12,1.46
